created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 18:26:04 +0000 2023;1723769141923107309;"@ganjarpranowo pak Ganjar...anu pak. lupa bawa logistik yah? seperti pisang goreng gt...😁";0;0;0;0;in;1704571589918961664;1723557957701636480;EdithIsom82026;https://twitter.com/EdithIsom82026/status/1723769141923107309
Sun Nov 12 18:25:33 +0000 2023;1723769014026146226;"@mbaksriii Setau pak jokowi stengah 3";0;0;0;0;in;1528280776693153793;1723763353208906219;den_opaall;https://twitter.com/den_opaall/status/1723769014026146226
Sun Nov 12 18:25:09 +0000 2023;1723768911739707608;"@hsetiyawan1979 @Denny_baru @gibran_tweet gibran kalau pengen baik harus dukung ganjar ya?";0;0;0;0;in;1490361012062547968;1723565892246860035;fallingmonstar;https://twitter.com/fallingmonstar/status/1723768911739707608
Sun Nov 12 18:25:02 +0000 2023;1723768885298487381;"@gus_dibyo Pak ganjar tetap untuk rakyat,dukungan terus mengalir untuk capres ganjar mahfud";0;0;0;0;in;1713480440055762944;1723685328501035327;Linda52878;https://twitter.com/Linda52878/status/1723768885298487381
Sun Nov 12 18:25:01 +0000 2023;1723768877753180326;"@gus_dibyo Pak ganjar selalu dihati ... Optimis pak Ganjar Pranowo menang";0;0;0;0;in;1453629431054954497;1723685328501035327;zizuka_ri;https://twitter.com/zizuka_ri/status/1723768877753180326
Sun Nov 12 18:24:56 +0000 2023;1723768857590976684;"@kiki_daliyo @ganjarpranowo Ganjar mengambil langkah tepat, memilih berkoalisi dengan rakyat itu sudah sangat bagus.";0;0;0;0;in;1696873293180276736;1723558504173371891;Tutiaditama22;https://twitter.com/Tutiaditama22/status/1723768857590976684
Sun Nov 12 18:24:11 +0000 2023;1723768668121899191;"@ganjarpranowo Di sambut dengan kesenian yang hebat,ganjar sosok pemimpin yang loyalitasnya tinggi";0;0;0;0;in;1713480440055762944;1723649027106132210;Linda52878;https://twitter.com/Linda52878/status/1723768668121899191
Sun Nov 12 18:24:05 +0000 2023;1723768644373733634;"@ganjarpranowo Sungguh menginspirasi melihat Pak Ganjar turun langsung ke Tapanuli Utara untuk bertemu dengan masyarakat Batak Toba.";0;0;0;0;in;764076389519593472;1723649027106132210;crusqy;https://twitter.com/crusqy/status/1723768644373733634
Sun Nov 12 18:24:02 +0000 2023;1723768632507859241;"@awemany Mbak Mega mah cuma mau kampanye Ganjar yg kayaknya elektabilitasnya makin tergerus. Kedoknya pidato politik keprihatinan. Tapi soal menolak 3 per di de baru ane angkat jempol";0;0;0;0;in;221197073;1723700793633902595;Johny_Ardy;https://twitter.com/Johny_Ardy/status/1723768632507859241
Sun Nov 12 18:24:00 +0000 2023;1723768624345645519;"@Melihat_Indo Yang dirusak hanya baliho milik Pak Ganjar dan itu aneh tapi nyata";0;0;0;0;in;1712632773562019840;1723625937059938490;Joanna04282403;https://twitter.com/Joanna04282403/status/1723768624345645519
Sun Nov 12 18:23:48 +0000 2023;1723768571413852245;"@ganjarpranowo Salut dengan inisiatif Pak Ganjar yang menghormati dan berdialog dengan pemuka adat di Tapanuli Utara, menunjukkan rasa hormat terhadap kearifan lokal.";0;0;0;0;in;783486724320079872;1723649027106132210;practicbe;https://twitter.com/practicbe/status/1723768571413852245
Sun Nov 12 18:23:38 +0000 2023;1723768531970564293;"@ganjarpranowo Yakin banget bahwa pak ganjar nanti bisa memimpin negeri ini dan bisa memajukan negeri ini";0;0;0;0;in;1601314073160785922;1723557957701636480;Ratihwirawan;https://twitter.com/Ratihwirawan/status/1723768531970564293
Sun Nov 12 18:23:33 +0000 2023;1723768510386450764;"@ganjarpranowo Kehadiran Pak Ganjar di tengah-tengah warga Batak Toba memberikan sentuhan personal dan mendekatkan diri dengan rakyat.";0;0;0;0;in;745671739657461760;1723649027106132210;glitbh;https://twitter.com/glitbh/status/1723768510386450764
Sun Nov 12 18:23:25 +0000 2023;1723768478195499358;"@hasyimmah Udahlahh  Idenya ganjar yg debesss  Gitu aja ka nn";0;0;0;0;in;1623594385421242369;1723521571766337629;Syawaluddinras1;https://twitter.com/Syawaluddinras1/status/1723768478195499358
Sun Nov 12 18:23:20 +0000 2023;1723768457307500569;"@gus_dibyo 2024 all in Ganjar optimis menang";0;0;0;0;in;1453543367384592395;1723685328501035327;hikachi__;https://twitter.com/hikachi__/status/1723768457307500569
Sun Nov 12 18:23:18 +0000 2023;1723768446130004311;"@ganjarpranowo Kunjungan Pak Ganjar ke Tapanuli Utara tidak hanya sebagai pemimpin, tetapi juga sebagai saudara bagi seluruh masyarakat.";0;0;0;0;in;702097339977105408;1723649027106132210;NowOrNcver;https://twitter.com/NowOrNcver/status/1723768446130004311
Sun Nov 12 18:23:06 +0000 2023;1723768395051815111;"Dinilai Bersih dari Korupsi, Ponpes di Banten Dukung Ganjar-Mahfud untuk 2024 https://t.co/OtmPuwINr9";1;0;0;4;in;41730943;1723768395051815111;VIVAcoid;https://twitter.com/VIVAcoid/status/1723768395051815111
Sun Nov 12 18:23:02 +0000 2023;1723768378291273761;"@gus_dibyo Kemanapun Pak Ganjar melangkah selalu ada cinta dan doa yang tulus untuknya";0;0;0;0;in;1712632773562019840;1723685328501035327;Joanna04282403;https://twitter.com/Joanna04282403/status/1723768378291273761
Sun Nov 12 18:22:43 +0000 2023;1723768301887877245;"@DivHumas_Polri Di mulai pembagian uang oleh @prabowo ke TNI AD dulu, MUNGKIN nanti giliran Polri. Kata Wowo, uang tsb untuk kesejahteraan prajurit loh. Jgn lupa kalau sudah terima duit, semua baliho dan atribut kampanye Ganjar di cabut ya.....dan awasi terus ruang gerak kader @PDI_Perjuangan https://t.co/193CtECkhA";1;0;3;2;in;1570075217820782593;1723536135673315370;Kaki_Langith;https://twitter.com/Kaki_Langith/status/1723768301887877245
Sun Nov 12 18:22:35 +0000 2023;1723768266462806343;"@ganjarpranowo Terima kasih nek kami juga berharap yang sama berdoa yang sama semoga bangsa dan negara ini tetap Aman damai sejahtera dipimpin oleh orang yang benar tepat seperti Pak Ganjar pranowo";0;0;0;1;in;1702194204703924224;1723649027106132210;GuruParhani;https://twitter.com/GuruParhani/status/1723768266462806343
Sun Nov 12 18:22:34 +0000 2023;1723768262154989792;"@ganjarpranowo Kami selalu mendoakan yang terbaik untuk pak Ganjar semoga kelak pak Ganjar yang akan menjadi pemimpin kami";0;0;0;1;in;1712632773562019840;1723649027106132210;Joanna04282403;https://twitter.com/Joanna04282403/status/1723768262154989792
Sun Nov 12 18:22:29 +0000 2023;1723768240315260936;"@Prihati_utami tak lengkap tanpa cemilan dan asap... ayo Pak Ganjar tampung terus aspirasi kami.";0;0;0;0;in;1704571589918961664;1723554022374941076;EdithIsom82026;https://twitter.com/EdithIsom82026/status/1723768240315260936
Sun Nov 12 18:22:28 +0000 2023;1723768235701764450;"@kiki_daliyo @ganjarpranowo Pak Ganjar dekat dengan rakyat bukan untuk cari perhatian, tapi memang pak Ganjar senang sekali bisa dekat dengan rakyat";0;0;0;0;in;1618135128651468800;1723558504173371891;EnakShusi;https://twitter.com/EnakShusi/status/1723768235701764450
Sun Nov 12 18:22:23 +0000 2023;1723768215116079398;"@ganjarpranowo Semoga doa dari Nenek daniel membuat pak Ganjar makin dipermudah jalannya";0;0;0;0;in;1688279554690015232;1723649027106132210;afifah_ali36557;https://twitter.com/afifah_ali36557/status/1723768215116079398
Sun Nov 12 18:22:16 +0000 2023;1723768185802174553;"@ganjarpranowo Semua berawal dari niat baik pak, bismillah semoga apa yg menjadi niat baik pak ganjar bisa terwujud";0;0;0;0;in;1601317248098267137;1723557957701636480;maspaejoo;https://twitter.com/maspaejoo/status/1723768185802174553
Sun Nov 12 18:21:56 +0000 2023;1723768103006613743;"@Melihat_Indo Ini semua bukan tentang Ganjar Pranowo, ini tentang kegelisahan anak bangsa tentang demokrasi Indonesia https://t.co/brUa4Synnv";0;0;0;0;in;1712632773562019840;1723671639165120860;Joanna04282403;https://twitter.com/Joanna04282403/status/1723768103006613743
Sun Nov 12 18:21:42 +0000 2023;1723768044206367133;"@detikcom Gaspoll pak ganjar🤟";0;0;0;0;in;1066305506824806400;1723356154657681820;nirerald;https://twitter.com/nirerald/status/1723768044206367133
Sun Nov 12 18:21:35 +0000 2023;1723768013353324865;"@BocahTuaNdableg @ShenoWirang Sambil mkn makanan lezat begitupun masih sakit hati krn jokowi bgi makanan ke rivalnya saat pilpres yaitu prabowo. Dan sekarng merasa bhwa ganjar lbh hbt?? Blm tentu. Ingt jokowi masih seorg presiden, jgn klian jdi 11 12 dgn kadrun hnya krn seorg jokowi yg bgitu sabar";0;1;0;0;in;1589472901639507968;1723129978618056910;AmirShadan2;https://twitter.com/AmirShadan2/status/1723768013353324865
Sun Nov 12 18:21:30 +0000 2023;1723767993824370744;"@ganjarpranowo Harapan doa nenek Daniel dan para tokoh lainnya di negeri ini demi terwujudnya bangsa yang berwibawa melalui Pak Ganjar pranowo kami harapkan kami titipkan dukungan ini kepada beliau sebagai calon pemimpin bangsa negara Republik Indonesia di tahun 2024";0;0;0;0;in;1702202434658111488;1723649027106132210;Yahyaalidrus;https://twitter.com/Yahyaalidrus/status/1723767993824370744
Sun Nov 12 18:20:59 +0000 2023;1723767864727929253;"@ganjarpranowo Kawal pak Ganjar Pranowo dan Mahfud MD jdi pemimpin negara kita Indonesia";0;0;0;0;in;1599769317679464449;1723649027106132210;hannyie9;https://twitter.com/hannyie9/status/1723767864727929253
Sun Nov 12 18:20:47 +0000 2023;1723767812429156731;"@gus_dibyo Dari anak kecil hingga yg lanjut usia tau bagaimana keramahan dan kerendahan hati pak Ganjar";0;0;0;0;in;1607531112779386880;1723685328501035327;Syashaa_09;https://twitter.com/Syashaa_09/status/1723767812429156731
Sun Nov 12 18:20:18 +0000 2023;1723767690991698260;"@ganjarpranowo Udah dianggap kayak keluarga sendiri pak Ganjar disana ..";0;0;0;0;in;1635611853090082820;1723649027106132210;All_zahra12;https://twitter.com/All_zahra12/status/1723767690991698260
Sun Nov 12 18:20:04 +0000 2023;1723767633609376136;"@gus_dibyo Ini baru yg namanya bermasyarakat lurr..betull tidak.... Pak Ganjar memang pantas jadi pemimpin bangsa kita";0;0;0;0;in;1607528827286355968;1723685328501035327;fanlesia_08;https://twitter.com/fanlesia_08/status/1723767633609376136
Sun Nov 12 18:19:58 +0000 2023;1723767609546408026;"@Tulus_nih70 Gama sepertinya ingin menjadikan 🇮🇩 sbg negara Islam….Bisa2 Indonesia mundur ke belakang 🤦🏻‍♀️🤦🏻‍♀️ Padahal dulu aq ngefans sama pak Ganjar,tapi skrg entahlah 🤷🏽‍♀️🤷🏽‍♀️ #savePancasila  #tolakNKRISyariah";0;0;0;1;in;1446499889588867076;1723685992681664546;twinte21;https://twitter.com/twinte21/status/1723767609546408026
Sun Nov 12 18:19:47 +0000 2023;1723767564072059047;"@ganjarpranowo Pak Ganjar sosok yg tulus dan baik hati";0;0;0;0;in;1635840781025173504;1723649027106132210;Victor_ri12;https://twitter.com/Victor_ri12/status/1723767564072059047
Sun Nov 12 18:19:15 +0000 2023;1723767426666393860;"@Prihati_utami Semoga kesampean ngobrol seruu dan lebih dekat dengan Pak Ganjar. Sehat selalu ya pak";0;0;0;0;in;1584022137190612993;1723554022374941076;ersamayoraj;https://twitter.com/ersamayoraj/status/1723767426666393860
Sun Nov 12 18:19:06 +0000 2023;1723767389194777051;"@ganjarpranowo Semoga nenek Daniel Boru Simare menjadi saksi terpilihnya Pak Ganjar menjadi presiden RI";0;0;0;1;in;1629411762692034560;1723649027106132210;zhegazali;https://twitter.com/zhegazali/status/1723767389194777051
Sun Nov 12 18:19:02 +0000 2023;1723767374648656265;"@gus_dibyo Rakyat tau pasti pak Ganjar memang calon pemimpin yang konsisten dalam bermasyarakat";0;0;0;0;in;1607446610568679425;1723685328501035327;zennyzen_07;https://twitter.com/zennyzen_07/status/1723767374648656265
Sun Nov 12 18:18:44 +0000 2023;1723767297276551508;"@Nikmatul_Sg Tetap saya dukung Ganjar Mahfud, masalah poster atau baliho itu cuma gambar, tapi Ganjar Mahfud selalu di hati";0;0;0;0;in;1681726418668118016;1723558368420446531;LEONLE2X;https://twitter.com/LEONLE2X/status/1723767297276551508
